id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
345473,Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby,1751224,Whitney,,78704,30.24619,-97.74569,Entire home/apt,308,2,164,2022-11-16,1.38,1,86,44,
345221,Austin Historic Home Downtown SxSW,1644218,Cecily,,78701,30.27247,-97.74796,Entire home/apt,299,3,8,2019-11-03,0.06,2,0,0,
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,96,2,623,2022-11-17,3.71,1,318,44,
347572,East Austin Bungalow,1761506,Savanna,,78702,30.26448,-97.71715,Entire home/apt,125,2,29,2020-03-01,0.22,1,0,0,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,41,1,273,2022-11-19,1.77,1,14,9,
345536,Artist's Hm. in Hip Bouldin Creek Area,1752493,Gigi,,78704,30.2466,-97.76157,Entire home/apt,156,3,284,2022-11-29,2.19,2,319,29,
347935,for formula one only...,1763742,Amber,,78704,30.25152,-97.76212,Entire home/apt,643,5,1,2012-03-18,0.01,1,0,0,
347654,ATX -SOCO 3bd House...beats hotels!,1761915,Charm,,78704,30.23661,-97.7449,Entire home/apt,450,1,65,2022-10-24,0.50,2,179,8,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,109,30,122,2022-10-17,0.77,1,0,5,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,159,3,294,2022-11-21,2.14,1,119,32,
349635,Central Austin (Tarrytown) Bed and Bath,1771402,Cindie,,78703,30.29932,-97.77631,Private room,125,1,71,2022-10-23,0.63,2,16,5,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,48,3,48,2021-11-13,0.31,1,65,0,
349447,"Eastside Cabana - Near UT,Downtown",1975748,Meredith,,78702,30.27871,-97.72332,Entire home/apt,112,1,798,2022-11-26,6.10,5,327,95,
351865,French country charming room/bath,1782559,Julie,,78754,30.33345,-97.64937,Private room,75,1,0,,,1,0,0,
353126,Monthly Rental Guest House /Apartment  in SoCo,1788349,Jeannie,,78704,30.2398,-97.74525,Entire home/apt,64,29,6,2020-06-30,0.05,3,167,0,
350072,Updated Home Near Downtown w/Pool,1714818,Jessica,,78704,30.24643,-97.76403,Entire home/apt,825,3,6,2014-11-04,0.05,1,0,0,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,150,30,17,2022-12-07,0.12,2,235,4,
353955,SXSW Luxury 2 Bedroom appt!,1792021,Mykel,,78746,30.34574,-97.80069,Entire home/apt,225,3,1,2012-03-15,0.01,1,0,0,
353261,4/3.5 SoCo Bungalow,1789494,Lara,,78704,30.24276,-97.75211,Entire home/apt,575,3,202,2022-11-26,1.89,1,231,26,
354263,Artsy Guesthouse in Central Soco/Sola/Bouldin Creek Area,1752493,Gigi,,78704,30.24821,-97.76343,Entire home/apt,130,1,378,2022-11-27,2.89,2,353,37,
18258,Sweet 3br/2ba Dialed for WFH - 15 min to DT,39458,Billy,,78745,30.19756,-97.78754,Entire home/apt,100,3,2,2022-11-12,1.15,1,49,2,
354513,SXSW-Historic Home luxury-Central East Downtown,1795232,Sara,,78702,30.25884,-97.73056,Entire home/apt,630,3,5,2017-03-15,0.04,1,0,0,
354569,Ultimate casually elegant retreat,2049988,Mike,,78703,30.28885,-97.76001,Entire home/apt,248,3,11,2017-07-05,0.08,1,0,0,
22166,Close in Hill country views NW,84906,Stacey,,78759,30.38794,-97.76358,Entire home/apt,180,30,11,2021-01-10,0.07,1,290,0,
355176,Private South Austin Guest House,1798140,Scott,,78745,30.22187,-97.7747,Entire home/apt,110,30,21,2021-05-02,0.16,1,0,0,
355232,Great SXSW Location. 3br/2baths,1798084,Jeffrey,,78704,30.24748,-97.74724,Entire home/apt,1000,1,3,2017-03-19,0.03,1,365,0,
22828,Garage Apartment near South Congress/Riverside,56488,David,,78741,30.23614,-97.73225,Entire home/apt,65,29,49,2022-09-13,0.32,1,127,4,
355328,SXSW - musician's home,1798834,Joan,,78704,30.23928,-97.77907,Entire home/apt,100,1,0,,,1,0,0,
355792,"Clean, Cute & Central-Clarksville!",1801114,An,,78703,30.28097,-97.75393,Entire home/apt,97,2,14,2021-11-29,0.11,1,0,0,
356675,Midcentury Modern in Central Austin,1805253,Trey,,78703,30.3054,-97.76974,Entire home/apt,1050,30,2,2013-06-01,0.02,1,0,0,
22982,Clarksville Large 2-1,89031,Gina,,78703,30.28074,-97.75381,Entire home/apt,250,1,165,2022-10-23,1.06,1,100,1,
485360,Downtown Condo with Austin's skyline view!,2402591,Jane,,78702,30.26778,-97.72849,Entire home/apt,139,4,136,2022-11-29,1.26,1,52,27,
356719,Cozy and Modern Home,1805524,Jai,,78723,30.30571,-97.69464,Entire home/apt,300,2,1,2012-11-20,0.01,1,0,0,
501861,Downtown SoCo Guest House,2476440,Michelle,,78704,30.253061,-97.745712,Entire home/apt,327,2,83,2022-11-13,1.12,2,272,28,
356837,Upscale 3 story Downtown Townhouse,1806205,Varun,,78701,30.28184,-97.74276,Entire home/apt,428,31,35,2022-07-22,0.27,3,365,9,
510168,The Retreat,793021,Steve,,78733,30.34253,-97.8616,Entire home/apt,364,3,115,2022-11-19,1.14,1,311,20,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,37,2022-11-26,0.26,1,301,4,
357529,Zilker Home walking distance to Zilker Park,1808807,Renee,,78704,30.25478,-97.76854,Entire home/apt,167,3,321,2022-11-26,2.45,2,87,47,
47572,Cozy Room in North Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,43,30,7,2022-11-16,0.15,1,187,2,
517378,South Austin Condo with Great View,2546917,Clint,,78745,30.20976,-97.81729,Entire home/apt,250,1,0,,,1,0,0,
358164,Beautiful  Private Cottage,1812799,Monica,,78751,30.3124,-97.72007,Private room,102,2,216,2022-11-23,1.65,1,318,32,
517430,Elegant Upper Level Home Apartment Minutes from Downtown,2546775,Rice,,78705,30.29961,-97.73449,Entire home/apt,130,2,163,2022-11-19,1.46,1,152,36,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,101,30,33,2022-08-15,0.22,2,362,2,
358643,Entertainers Delight Close to SOCO,1815367,Kathy,,78704,30.22971,-97.76695,Entire home/apt,800,1,0,,,1,0,0,
362460,SXSW  Bungalow Available 2/1,1831617,Chris,,78756,30.31744,-97.74547,Entire home/apt,625,4,0,,,1,0,0,
57187,"Zilker's Peaceful Haven-Fun, Funky, and Colorful",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,91,1,940,2022-12-06,6.46,2,352,111,
522136,Downtown Oasis - Quiet Retreat,2567934,Alexis,,78701,30.27936,-97.74362,Entire home/apt,115,3,471,2022-11-30,3.69,1,97,43,
363040,"Classic Austin Neighborhood, Zilker Festival Suite",213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,67,1,339,2022-11-14,2.59,2,77,47,
525231,"Brentwood Guest House, Central , Fenced Yard",2507231,Kris,,78757,30.34024,-97.73739,Entire home/apt,135,2,106,2022-11-25,0.85,1,85,21,
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,126,2,204,2022-12-10,1.44,2,325,52,
363944,The Big Zilker. Minutes to it all!,1840480,Scott & Sally,,78704,30.25795,-97.77202,Entire home/apt,594,4,31,2022-04-25,0.29,12,168,2,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,134,2,446,2022-03-08,3.11,1,0,3,
528338,Suite Spot (Zilker),2595932,Amber,,78704,30.2619,-97.76328,Entire home/apt,99,3,511,2022-11-12,4.00,1,0,36,
364025,Perfect for ACL/SXSW. Walk everywhere!,1839064,Adriana,,78703,30.27371,-97.75301,Entire home/apt,225,5,13,2019-03-14,0.11,1,0,0,
530483,Designer's Victorian Home,359112,Sara,,78722,30.29288,-97.71964,Entire home/apt,325,28,15,2018-04-26,0.12,1,22,0,
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23644,-97.76611,Entire home/apt,225,2,36,2021-10-25,0.56,1,0,0,
364121,Private romantic getaway 150' above Lake Travis,871765,Bruce,,78734,30.39243,-97.92007,Hotel room,210,2,1,2017-10-22,0.02,1,197,0,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,165,2,174,2022-11-05,1.22,1,89,13,
540377,Beautiful SoCo House near downtown,989596,John,,78704,30.24852,-97.74502,Entire home/apt,255,3,7,2020-03-21,0.06,2,0,0,
364269,Amazing Location! Pets Welcome. Minutes to it All.,1840480,Scott & Sally,,78704,30.25954,-97.76978,Entire home/apt,208,4,102,2022-11-27,0.78,12,356,13,
542124,Designer Oasis-East Central Austin,2457470,Sharon,,78702,30.27514,-97.71954,Private room,105,2,50,2022-10-30,0.42,1,225,17,
72833,"Private, Detached Cottage with Full Kitchen",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,119,3,410,2022-11-26,2.86,1,147,31,
364402,Short + long term - Central Austin!,1841318,Alice,,78751,30.32104,-97.71852,Private room,65,60,17,2022-09-25,0.17,1,362,2,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,180,4,43,2022-08-13,0.30,1,159,4,
365471,Hip E.Side Downtwn House Walk 2 ALL!,1845598,D.K.,,78702,30.25917,-97.73425,Entire home/apt,239,1,103,2022-10-24,0.79,1,68,11,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,110,30,57,2022-08-13,0.40,2,177,4,
560094,"Barton Springs, Hot tub, Downtown Wk/Mth Deals",4335991,Karen,,78704,30.2478,-97.786,Entire home/apt,450,2,89,2022-12-07,0.72,2,360,18,
563735,Zen Modern Home Near Downtown AUS,2771838,Pamela,,78704,30.25289,-97.79371,Private room,55,30,1,2013-10-07,0.01,1,318,0,
367356,New listing! Modern Austin home super close to downtown w/free WiFi/full kitchen,1488733,Vacasa Texas,,78751,30.30651,-97.72278,Entire home/apt,170,1,179,2022-11-06,1.37,17,364,6,
587572,Austin Getaway,7976770,Andrew,,78704,30.24546,-97.76627,Entire home/apt,103,2,192,2022-11-13,1.54,1,178,18,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,99,2,251,2022-11-14,1.76,2,364,16,
367366,Large ATX Home Minutes to Downtown,1854873,Alex,,78721,30.26309,-97.68447,Entire home/apt,169,2,153,2022-11-20,1.73,1,23,15,
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,118,2,415,2022-12-04,2.90,2,299,49,
592958,South Congress Beautiful Peaceful Bungalow,2927288,Tracy,,78704,30.24373,-97.75394,Entire home/apt,480,1,80,2022-11-27,0.67,1,294,21,
367789,Completely Renovated Mid Century,1856695,John,,78703,30.30549,-97.77147,Entire home/apt,2150,4,1,2014-03-17,0.01,1,0,0,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,120,2,220,2022-10-23,1.53,1,68,18,
369090,SXSW Walk to Downtown. 2br Apt.,1861886,Sarah,,78704,30.25858,-97.75181,Entire home/apt,650,1,0,,,1,0,0,
381240,SXSW LUX Urban abode- Walk to SoCo,1887493,Sobena,,78704,30.2538,-97.74359,Entire home/apt,450,4,9,2022-10-24,0.08,1,249,5,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,400,2,194,2022-11-14,2.07,1,254,30,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.11,1,0,0,
383603,Cozy Room in Little House... walk downtown,1901242,Leslie,,78702,30.25772,-97.7252,Private room,95,30,110,2022-09-18,0.84,1,78,9,
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,0,0,
406911,❤ Banana Bread+Next to Downtown+Cozy+Screen Porch,1652515,Cynthia,,78704,30.25909,-97.756,Entire home/apt,176,1,409,2022-11-18,3.30,1,344,52,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,52,2022-11-13,0.52,1,355,14,
602877,Stylish Furnished Condo with Pool,1280071,Alexis,,78757,30.35992,-97.7331,Entire home/apt,75,30,5,2019-08-31,0.04,1,199,0,
412290,GREAT Room - SOUTH CONGRESS Area!,1726978,Benjamin,,78704,30.23899,-97.7522,Private room,47,1,52,2018-01-17,0.42,2,0,0,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,4,91,2022-10-17,1.29,2,36,1,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.04,3,0,0,
424279,"Steps to S. Congress, 2 bedroom oasis w/ pool",1275188,Susie & Eoin,,78704,30.241,-97.75371,Entire home/apt,107,30,27,2022-04-09,0.23,1,210,1,
78422,Living the Dream on Richardine (3br 1ba E. Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,75,4,8,2022-12-11,0.06,1,110,4,
603084,"Modern, Spacious 3/2/2 South Austin",1282837,Joseph,,78745,30.20451,-97.7971,Entire home/apt,191,30,94,2022-08-08,0.77,2,152,3,
607536,Mid-Century Modern East Austin- 2 Rooms in a house,2546033,Adam,,78723,30.30308,-97.67689,Private room,111,2,143,2022-11-10,1.14,1,330,11,
430683,Architectual Gem/ Pool,2141281,Melanie,,78731,30.33875,-97.76135,Entire home/apt,695,31,2,2016-05-30,0.02,3,12,0,
78731,Large Room and Private Bath in Central East Austin,423131,Robin,,78702,30.27011,-97.72693,Private room,129,3,215,2022-11-13,1.64,1,44,31,
433996,Modern Loft in the Heart of ATX | Walk to Zilker,2157243,Sean,,78704,30.26139,-97.77566,Entire home/apt,101,2,273,2022-12-14,2.13,9,241,25,
78884,Cozy Barton Hills Studio | Walk to Zilker Park,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,101,2,187,2022-12-08,1.31,9,260,27,
609427,Studio on funky S 3rd St. near SOCO,10615,Simon,,78704,30.24492,-97.76119,Entire home/apt,110,30,59,2022-11-22,0.47,1,178,5,
435211,Austin Historic home bedroom only,1644218,Cecily,,78701,30.27241,-97.74894,Private room,82,2,164,2020-02-15,1.27,2,0,0,
609618,Clean Room & Own Bath in 50's home,2989106,Janet,,78722,30.29991,-97.71398,Private room,70,2,28,2019-12-09,0.23,1,0,0,
438411,Cozy central east home-kid friendly,2177425,Aga & B,,78702,30.26529,-97.71573,Entire home/apt,200,30,16,2021-05-18,0.13,2,78,0,
620532,French Place Studio,806961,Jim,,78722,30.29087,-97.71979,Entire home/apt,60,30,21,2022-07-18,0.17,1,239,2,
79100,Bungalow-New Hot Tub-51st Area- G.Fiber-Monthly,425706,Robert,,78723,30.30933,-97.6952,Entire home/apt,120,30,38,2022-10-09,0.32,4,61,8,
442720,House on the Creek - 4BR/3BA - 10 minutes to City,2200336,Gretchen,,78746,30.29948,-97.79728,Entire home/apt,361,3,102,2022-11-04,0.79,1,180,8,
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0.25,2,0,0,
622495,The Blue Dahlia--close to Downtown!,12409,Flip,,78705,30.28714,-97.75258,Entire home/apt,70,30,34,2022-08-18,0.28,2,298,3,
461404,Cute & Cozy Central Austin House,1021729,Nita,,78756,30.3239,-97.731,Entire home/apt,112,2,92,2022-11-28,0.75,1,285,10,
628034,Charming Vintage Craftsman - East Downtown,2436512,Crystal,,78702,30.27191,-97.71989,Entire home/apt,179,1,624,2022-11-28,4.99,6,244,72,
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,300,2,4,2021-05-30,0.07,1,179,0,
474901,Minutes to Zilker Park and Barton Springs!,2354063,Marit,,78704,30.25174,-97.78213,Entire home/apt,599,2,5,2016-10-10,0.05,1,364,0,
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,52,2,252,2022-12-05,1.84,1,346,35,
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,81,2,16,2018-01-03,0.25,2,0,0,
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,400,45,116,2020-04-11,0.92,10,253,0,
632659,Central/East Maple Guest House,3147504,Michelle,,78722,30.28273,-97.71702,Entire home/apt,201,2,400,2022-11-20,3.27,1,131,50,
479197,Funky SoFi Condo! Walk downtown! Private bathroom,1918269,Amanda,,78704,30.258,-97.75195,Private room,60,30,31,2022-10-17,0.24,3,271,3,
637480,NA Bright Cozy Gem,3179679,Jaz,,78703,30.27808,-97.75098,Entire home/apt,190,3,11,2019-10-14,0.15,1,0,0,
90898,"Artsy, Cozy, and Fun; Our Travis Heights 2-1",236847,Lester,,78704,30.24498,-97.74935,Entire home/apt,174,1,112,2022-10-24,0.79,2,363,11,
666423,Zilker Neighborhood Bungalow SXSW,2350380,Nessa,,78704,30.24831,-97.77864,Entire home/apt,500,2,16,2022-10-24,0.15,3,365,2,
90957,"SOCO Austin, TX Guest Room in 2Bedroom House",236847,Lester,,78704,30.24574,-97.74828,Private room,84,1,5,2022-11-13,0.04,2,354,2,
104099,Zilker Guesthouse,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,82,1,231,2022-11-27,1.69,2,79,43,
666768,Detached Studio.shared bath/kitchen,2350380,Nessa,,78704,30.24747,-97.77826,Private room,100,2,8,2022-04-23,0.08,3,365,1,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24645,-97.74701,Entire home/apt,150,31,138,2022-11-12,0.98,2,289,4,
668239,Cheerful Bungalow Close to Downtown Available SXSW,3382193,Ayann & Sebastian,,78704,30.24389,-97.76607,Entire home/apt,467,3,116,2022-03-27,0.97,1,0,2,
668301,A Place To Stay In Austin,2885190,John & Carol,,78704,30.24706,-97.75664,Entire home/apt,148,2,170,2022-10-23,1.37,1,7,14,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.3027,-97.72945,Entire home/apt,126,20,96,2022-11-17,0.72,9,343,6,
669469,Historical Loft with Capitol View!,3389824,Raquel + Jacob,,78701,30.27089,-97.74113,Entire home/apt,821,1,350,2020-05-24,2.80,2,0,0,
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.02,3,0,0,
676107,Private Upstairs Oasis!,3434065,Leia & Keri,,78748,30.15374,-97.80159,Private room,66,1,253,2020-03-13,2.27,2,0,0,
128326,Austin City Limits-Private Pool by Nature Preserve,634580,Morrie And Rachel,,78736,30.24395,-98.00244,Entire home/apt,295,3,83,2022-12-04,0.61,1,354,16,
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.30215,-97.73046,Entire home/apt,127,20,86,2022-11-13,0.63,9,365,7,
642674,"Thistle Hill Studio, DrippingSprings",2033896,Leslie,,78737,30.22072,-98.00722,Entire home/apt,125,29,52,2022-05-31,0.47,1,348,1,
644051,"Central Austin, close to everything. Monthly rates",3222157,Tracey,,78704,30.25084,-97.73897,Entire home/apt,718,2,37,2022-06-22,0.31,1,215,2,
649833,SXSW Downtown Austin 94 Walk Score,3262147,Perry,,78701,30.27508,-97.75095,Entire home/apt,899,3,1,2013-03-13,0.01,1,365,0,
676959,Cozy/ Private Rm in S. Austin!,3434065,Leia & Keri,,78748,30.15391,-97.80261,Private room,49,1,417,2020-02-16,3.66,2,0,0,
660425,The Casita on Hether St,3333277,Gisela,,78704,30.25278,-97.77303,Entire home/apt,178,2,164,2022-11-13,1.33,1,115,18,
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397,-97.73037,Entire home/apt,126,20,92,2022-11-05,0.67,9,299,11,
685361,5 Star Gorgeous and Spacious Downtown Austin 4BR,3495665,Laura,,78703,30.2803,-97.75612,Entire home/apt,1007,2,37,2022-10-09,0.31,1,345,7,
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,150,30,206,2022-11-09,1.68,1,365,4,
662226,Brentwood Bungalow-Central-2 BDRMS,543367,Mary,,78757,30.33529,-97.72924,Entire home/apt,160,30,23,2022-06-24,0.19,2,341,2,
662245,2B/2B Condo in Downtown Austin,3343870,Brandon,,78703,30.26869,-97.75165,Entire home/apt,493,5,2,2014-03-13,0.02,1,0,0,
685451,CampEZ-1 in SxS Austin TX,1568741,Jim O',,78745,30.21038,-97.76873,Entire home/apt,18,2,36,2022-11-18,0.30,17,363,7,
664013,Rustic Hill Country Cottage-Multiple Nights,265070,Lata,,78733,30.34998,-97.85608,Private room,82,2,187,2022-10-30,1.55,2,159,10,
686463,SXSW + MidCentury home with pool + Ebike,2157243,Sean,,78704,30.25505,-97.77267,Entire home/apt,1000,2,12,2018-03-19,0.10,9,364,0,
942734,Clarksville Guest House - Downtown,3536176,David,,78703,30.27889,-97.76001,Entire home/apt,1000,1,7,2019-03-14,0.06,1,365,0,
687675,Comfy 3/2 Home on UT shuttle,3509782,Meaghan,,78731,30.3513,-97.76011,Entire home/apt,275,2,67,2020-02-28,0.56,1,0,0,
692220,My Treehouse Home in South Austin,3539325,Garret,,78704,30.23537,-97.75171,Entire home/apt,60,30,64,2022-09-30,0.52,2,319,2,
942843,Enjoy SXSW and ACL in quiet comfort,5099514,Puru,,78753,30.38216,-97.67033,Entire home/apt,225,3,1,2013-07-31,0.01,1,358,0,
155359,TheTramHouse,372205,Keith,,78732,30.41813,-97.88915,Entire home/apt,400,30,34,2022-10-16,0.25,2,136,1,
693890,"Beautiful duplex, perfect for SXSW!",3547591,Alana,,78704,30.24313,-97.74225,Entire home/apt,545,2,0,,,1,0,0,
698373,Entire Home in South Austin,3579720,Ryan,,78704,30.25689,-97.74658,Private room,250,3,0,,,2,0,0,
942883,Sanitized UT Downtown  Condo Parking w/VIEWS,1343838,Guadalupe,,78705,30.29738,-97.73494,Entire home/apt,99,30,196,2022-11-20,1.74,1,74,9,
699018,"Urban Oasis! Near Downtown, Great for Work at Home",3584580,Katherine,,78731,30.31268,-97.75381,Entire home/apt,166,3,59,2022-07-06,0.48,3,133,7,
943528,"Downtwn: Convention Ctr, SXSW, Free Parking",5104710,Mark,,78701,30.26528,-97.74062,Entire home/apt,200,1,425,2019-09-29,3.58,1,0,0,
946813,Upper East Side SXSW Retreat,5130794,Rob,,78723,30.31371,-97.69227,Entire home/apt,399,5,0,,,1,0,0,
158398,Barton Hills oasis! Bike/scooter to Zilker Park!,760426,Lis,,78704,30.25288,-97.78491,Entire home/apt,899,4,17,2022-06-18,0.13,1,323,1,
167459,SXSW and ACL 4 bedroom in Austin!,628942,Marnie,,78746,30.27767,-97.79126,Entire home/apt,800,3,8,2022-02-22,0.06,1,362,1,
699485,1 rm in house - 10 mi from SXSW!!,3587826,David,,78745,30.19411,-97.78186,Entire home/apt,400,1,0,,,1,0,0,
701159,Boutique Condo in Historic Clarksville- near SXSW,2697403,Sabrina,,78703,30.28065,-97.75971,Entire home/apt,225,2,9,2018-04-06,0.07,1,0,0,
174828,Light & Airy Central Austin Retreat with Gorgeous Patio,835236,Jenny,,78752,30.33238,-97.71233,Entire home/apt,392,2,365,2022-11-22,2.67,1,170,29,
184853,78704  Austin Getaway Two Bedroom monthly rental.,518748,Rachel,,78704,30.24106,-97.77315,Entire home/apt,138,30,6,2022-10-27,0.13,2,97,4,
947412,South Austin Charmer 10mins dwntwn,4437388,Stacey,,78745,30.20196,-97.79572,Entire home/apt,109,2,50,2022-12-05,0.47,3,47,10,
947423,East DT Austin home for SXSW!!,5134988,Ben,,78702,30.25977,-97.69713,Private room,250,3,0,,,1,0,0,
701300,Charming garden home for F1 weekend,3598921,David,,78759,30.37102,-97.74446,Entire home/apt,1250,2,0,,,1,0,0,
949922,"Vintage Airstream in East Austin, Texas",5152543,Marcella,,78723,30.29757,-97.68266,Entire home/apt,79,1,1086,2022-11-22,9.10,2,346,110,
701392,Central ATX Private Paradise - 3BR/2BA close to DT,2207307,Elizabeth & Mike,,78705,30.2991,-97.74167,Entire home/apt,228,2,142,2020-03-11,1.19,1,0,0,
702294,Lovely & creative artist/musician home by SoCo.,1376031,Whitney,,78704,30.24758,-97.7384,Entire home/apt,371,3,38,2022-10-24,0.36,1,68,2,
